RECEIVED,SRRECTYPE,SR_TYPE_DESC,PC,WARD,COMPLETED,CLOSED,Flytip_Status,How_Recieved,where_Recieved
11/11/2019,EPRN25,Noise - Licensed Premises,,Headingley & Hyde Park,04/12/2019,04/12/2019,,E-mail,Environmental Health Back Office
12/11/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Little London & Woodhouse,12/11/2019,12/11/2019,,E-mail,Environmental Health Back Office
12/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,22/11/2019,22/11/2019,,Self Service,CCP Self Service
12/11/2019,EPRN10,Noise - Fireworks (Commercial Premises),,Chapel Allerton,26/11/2019,26/11/2019,,Self Service,CCP Self Service
14/11/2019,EPRN25,Noise - Licensed Premises,,Little London & Woodhouse,14/11/2019,14/11/2019,,Self Service,CCP Self Service
14/11/2019,EPRN22,Noise - Major Domestic Building Works,,Little London & Woodhouse,02/12/2019,02/12/2019,,Self Service,CCP Self Service
14/11/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,05/12/2019,05/12/2019,,Telephone Call,Environmental Health Back Office
14/11/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,05/12/2019,05/12/2019,,E-mail,Environmental Health Back Office
15/11/2019,EPRN25,Noise - Licensed Premises,,Little London & Woodhouse,15/11/2019,15/11/2019,,Self Service,CCP Self Service
15/11/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Hunslet & Riverside,05/12/2019,05/12/2019,,Self Service,CCP Self Service
15/11/2019,EPRN05,Noise - Roadworks,,Headingley & Hyde Park,15/11/2019,15/11/2019,,Self Service,CCP Self Service
15/11/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,05/12/2019,05/12/2019,,E-mail,Environmental Health Back Office
15/11/2019,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,,,,Telephone Call,Contact Centre
15/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Little London & Woodhouse,18/11/2019,18/11/2019,,Telephone Call,Contact Centre
15/11/2019,EPRN25,Noise - Licensed Premises,,Headingley & Hyde Park,18/11/2019,18/11/2019,,Self Service,CCP Self Service
16/11/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Kirkstall,18/11/2019,18/11/2019,,Self Service,CCP Self Service
16/11/2019,EPRN25,Noise - Licensed Premises,,Calverley & Farsley,16/12/2019,16/12/2019,,Self Service,CCP Self Service
17/11/2019,EPRN25,Noise - Licensed Premises,,Headingley & Hyde Park,05/12/2019,05/12/2019,,Telephone Call,Environmental Health Back Office
17/11/2019,EPRN21,Noise - Low Frequency,,Pudsey,18/11/2019,18/11/2019,,Self Service,CCP Self Service
17/11/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley & Hyde Park,11/12/2019,11/12/2019,,Self Service,CCP Self Service
17/11/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Temple Newsam,18/11/2019,18/11/2019,,Telephone Call,Environmental Health Back Office
18/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Moortown,27/11/2019,27/11/2019,,Telephone Call,Contact Centre
18/11/2019,EPRN25,Noise - Licensed Premises,,Armley,03/12/2019,03/12/2019,,E-mail,Environmental Health Back Office
18/11/2019,EPRN02,Noise - Commercial/Industrial Activities,LS3 1,Little London & Woodhouse,25/11/2019,25/11/2019,,E-mail,Environmental Health Back Office
19/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,Self Service,CCP Self Service
19/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,Self Service,CCP Self Service
19/11/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Calverley & Farsley,03/12/2019,03/12/2019,,Telephone Call,Environmental Health Back Office
20/11/2019,EPRN03,Noise - Construction Sites,,Calverley & Farsley,26/11/2019,26/11/2019,,Telephone Call,Contact Centre
20/11/2019,EPRN21,Noise - Low Frequency,,Calverley & Farsley,21/11/2019,21/11/2019,,Telephone Call,Contact Centre
20/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,E-mail,Environmental Health Back Office
20/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,10/12/2019,10/12/2019,,E-mail,Environmental Health Back Office
20/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,10/02/2020,10/02/2020,,E-mail,Environmental Health Back Office
20/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,10/02/2020,10/02/2020,,E-mail,Environmental Health Back Office
20/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,10/02/2020,10/02/2020,,E-mail,Environmental Health Back Office
20/11/2019,EPRN03,Noise - Construction Sites,,Crossgates & Whinmoor,04/12/2019,04/12/2019,,E-mail,Environmental Health Back Office
20/11/2019,EPRN03,Noise - Construction Sites,,Guiseley & Rawdon,02/01/2020,02/01/2020,,Telephone Call,Contact Centre
20/11/2019,EPRN22,Noise - Major Domestic Building Works,,Hunslet & Riverside,02/12/2019,02/12/2019,,Telephone Call,Environmental Health Back Office
20/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Hunslet & Riverside,02/12/2019,02/12/2019,,Self Service,CCP Self Service
21/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,26/11/2019,26/11/2019,,Self Service,CCP Self Service
21/11/2019,EPRN22,Noise - Major Domestic Building Works,,Little London & Woodhouse,16/12/2019,16/12/2019,,Self Service,CCP Self Service
21/11/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Little London & Woodhouse,17/12/2019,17/12/2019,,E-mail,Environmental Health Back Office
21/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Kippax & Methley,20/02/2020,20/02/2020,,E-mail,Environmental Health Back Office
21/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,Self Service,CCP Self Service
21/11/2019,EPRN22,Noise - Major Domestic Building Works,,Hunslet & Riverside,05/12/2019,05/12/2019,,Telephone Call,Contact Centre
21/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,05/12/2019,05/12/2019,,Self Service,CCP Self Service
21/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,Self Service,CCP Self Service
21/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Morley North,21/11/2019,21/11/2019,,E-mail,Environmental Health Back Office
21/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,Telephone Call,Contact Centre
22/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Hunslet & Riverside,06/12/2019,06/12/2019,,Self Service,CCP Self Service
22/11/2019,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,17/12/2019,17/12/2019,,Self Service,CCP Self Service
22/11/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Moortown,11/12/2019,11/12/2019,,Telephone Call,Contact Centre
22/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Wetherby,17/12/2019,17/12/2019,,Telephone Call,Contact Centre
22/11/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Little London & Woodhouse,13/12/2019,13/12/2019,,E-mail,Environmental Health Back Office
22/11/2019,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,16/12/2019,16/12/2019,,Telephone Call,Environmental Health Back Office
23/11/2019,EPRN25,Noise - Licensed Premises,,Otley & Yeadon,01/05/2020,01/05/2020,,Telephone Call,Environmental Health Back Office
23/11/2019,EPRN25,Noise - Licensed Premises,,Horsforth,10/12/2019,10/12/2019,,Telephone Call,Environmental Health Back Office
24/11/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Headingley & Hyde Park,27/11/2019,27/11/2019,,Self Service,CCP Self Service
24/11/2019,EPRN07,Noise - Motor Vehicles (On Private Land),,Otley & Yeadon,26/11/2019,26/11/2019,,Self Service,CCP Self Service
24/11/2019,EPRN14,Noise - Shooting,LS15 4,Harewood,27/11/2019,27/11/2019,,Self Service,CCP Self Service
25/11/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,02/12/2019,02/12/2019,,E-mail,Environmental Health Back Office
25/11/2019,EPRN25,Noise - Licensed Premises,,Calverley & Farsley,10/12/2019,10/12/2019,,,Environmental Health Back Office
25/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,26/11/2019,26/11/2019,,Self Service,CCP Self Service
25/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,Telephone Call,Environmental Health Back Office
25/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,27/11/2019,27/11/2019,,Self Service,CCP Self Service
25/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,05/12/2019,05/12/2019,,Self Service,CCP Self Service
26/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Hunslet & Riverside,10/12/2019,10/12/2019,,Self Service,CCP Self Service
26/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,Telephone Call,Environmental Health Back Office
26/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,05/12/2019,05/12/2019,,Self Service,CCP Self Service
26/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,02/12/2019,02/12/2019,,Self Service,CCP Self Service
26/11/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Hunslet & Riverside,16/12/2019,16/12/2019,,E-mail,Environmental Health Back Office
26/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,05/12/2019,05/12/2019,,Telephone Call,Contact Centre
26/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,26/11/2019,26/11/2019,,Telephone Call,Contact Centre
26/11/2019,EPRN05,Noise - Roadworks,LS13 2,Bramley & Stanningley,27/11/2019,27/11/2019,,Telephone Call,Contact Centre
27/11/2019,EPRN03,Noise - Construction Sites,,Pudsey,11/12/2019,11/12/2019,,Self Service,CCP Self Service
27/11/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Farnley & Wortley,27/11/2019,27/11/2019,,Self Service,CCP Self Service
27/11/2019,EPRN19,Noise - Mobile Plant/Machinery,,Guiseley & Rawdon,27/11/2019,27/11/2019,,Self Service,CCP Self Service
27/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,Self Service,CCP Self Service
27/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,E-mail,Environmental Health Back Office
27/11/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS25 2,Garforth & Swillington,27/11/2019,27/11/2019,,E-mail,Environmental Health Back Office
27/11/2019,EPRN03,Noise - Construction Sites,LS9 0,Burmantofts & Richmond Hill,06/02/2020,06/02/2020,,E-mail,Environmental Health Back Office
27/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,Telephone Call,Contact Centre
28/11/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Moortown,28/11/2019,28/11/2019,,E-mail,Environmental Health Back Office
28/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Weetwood,28/11/2019,28/11/2019,,Self Service,CCP Self Service
28/11/2019,EPRN03,Noise - Construction Sites,,Armley,08/01/2020,08/01/2020,,E-mail,Environmental Health Back Office
29/11/2019,EPRN02,Noise - Commercial/Industrial Activities,LS1 2,Little London & Woodhouse,29/11/2019,29/11/2019,,E-mail,Environmental Health Back Office
29/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Headingley & Hyde Park,29/11/2019,29/11/2019,,Self Service,CCP Self Service
29/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Morley South,06/07/2020,06/07/2020,,E-mail,Environmental Health Back Office
29/11/2019,EPRN02,Noise - Commercial/Industrial Activities,,Morley South,23/01/2020,23/01/2020,,E-mail,Environmental Health Back Office
29/11/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,03/12/2019,03/12/2019,,Self Service,CCP Self Service
29/11/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,03/12/2019,03/12/2019,,Self Service,CCP Self Service
29/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,Self Service,CCP Self Service
30/11/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,03/12/2019,03/12/2019,,Telephone Call,Environmental Health Back Office
30/11/2019,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,11/12/2019,11/12/2019,,Self Service,CCP Self Service
30/11/2019,EPRN25,Noise - Licensed Premises,,Little London & Woodhouse,05/02/2020,05/02/2020,,Telephone Call,Environmental Health Back Office
01/12/2019,EPRN03,Noise - Construction Sites,,Ardsley & Robin Hood,11/12/2019,11/12/2019,,Self Service,CCP Self Service
01/12/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,11/02/2020,11/02/2020,,Self Service,CCP Self Service
02/12/2019,EPRN03,Noise - Construction Sites,,Weetwood,12/12/2019,12/12/2019,,E-mail,Environmental Health Back Office
02/12/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,31/01/2020,31/01/2020,,Telephone Call,Environmental Health Back Office
02/12/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,05/12/2019,05/12/2019,,Telephone Call,Environmental Health Back Office
03/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Headingley & Hyde Park,03/12/2019,03/12/2019,,Self Service,CCP Self Service
03/12/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,05/12/2019,05/12/2019,,E-mail,Environmental Health Back Office
03/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,08/01/2020,08/01/2020,,E-mail,Environmental Health Back Office
03/12/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Horsforth,06/12/2019,06/12/2019,,Telephone Call,Contact Centre
04/12/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Crossgates & Whinmoor,06/12/2019,06/12/2019,,E-mail,Environmental Health Back Office
05/12/2019,EPRN25,Noise - Licensed Premises,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,Self Service,CCP Self Service
05/12/2019,EPRN25,Noise - Licensed Premises,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,Self Service,CCP Self Service
05/12/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS10 1,Hunslet & Riverside,06/12/2019,06/12/2019,,Self Service,CCP Self Service
05/12/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,Self Service,CCP Self Service
05/12/2019,EPRN12,Noise - Fairgrounds,LS10 1,Hunslet & Riverside,14/02/2020,14/02/2020,,Self Service,CCP Self Service
06/12/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Kippax & Methley,17/03/2020,17/03/2020,,Self Service,CCP Self Service
06/12/2019,EPRN25,Noise - Licensed Premises,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,E-mail,Environmental Health Back Office
06/12/2019,EPRN25,Noise - Licensed Premises,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,Telephone Call,Environmental Health Back Office
06/12/2019,EPRN24,Noise - Patrons Entrng/Extng Buildings,,Burmantofts & Richmond Hill,24/12/2019,24/12/2019,,Self Service,CCP Self Service
06/12/2019,EPRN25,Noise - Licensed Premises,,Harewood,12/12/2019,12/12/2019,,Telephone Call,Environmental Health Back Office
07/12/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Hunslet & Riverside,09/12/2019,09/12/2019,,Self Service,CCP Self Service
07/12/2019,EPRN03,Noise - Construction Sites,,Roundhay,24/12/2019,24/12/2019,,Self Service,CCP Self Service
08/12/2019,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,09/12/2019,09/12/2019,,Self Service,CCP Self Service
08/12/2019,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,17/12/2019,17/12/2019,,Self Service,CCP Self Service
08/12/2019,EPRN25,Noise - Licensed Premises,,Hunslet & Riverside,13/12/2019,13/12/2019,,Self Service,CCP Self Service
08/12/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,Self Service,CCP Self Service
08/12/2019,EPRN25,Noise - Licensed Premises,,Temple Newsam,07/01/2020,07/01/2020,,Self Service,CCP Self Service
09/12/2019,EPRN06,Noise - Transport Not Constructn Related,,Gipton & Harehills,13/12/2019,13/12/2019,,Telephone Call,Contact Centre
09/12/2019,EPRN12,Noise - Fairgrounds,,Hunslet & Riverside,09/12/2019,09/12/2019,,Telephone Call,Contact Centre
09/12/2019,EPRN03,Noise - Construction Sites,LS9 8,Burmantofts & Richmond Hill,30/01/2020,30/01/2020,,E-mail,Environmental Health Back Office
10/12/2019,EPRN25,Noise - Licensed Premises,,Chapel Allerton,06/02/2020,06/02/2020,,E-mail,Environmental Health Back Office
10/12/2019,EPRN18,Noise - PA Systems & Loud Speakers,LS17 9,Harewood,10/12/2019,10/12/2019,,Telephone Call,Contact Centre
11/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Crossgates & Whinmoor,15/01/2020,15/01/2020,,E-mail,Environmental Health Back Office
11/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Horsforth,20/12/2019,20/12/2019,,E-mail,Environmental Health Back Office
11/12/2019,EPRN01,Noise - Air-Conditioning Units/Chillers,,Weetwood,02/01/2020,02/01/2020,,Self Service,CCP Self Service
12/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,20/12/2019,20/12/2019,,Telephone Call,Environmental Health Back Office
12/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Pudsey,08/01/2020,08/01/2020,,E-mail,Environmental Health Back Office
12/12/2019,EPRN12,Noise - Fairgrounds,LS10 1,Hunslet & Riverside,19/12/2019,19/12/2019,,Self Service,CCP Self Service
13/12/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Bramley & Stanningley,16/12/2019,16/12/2019,,Telephone Call,Contact Centre
14/12/2019,EPRN04,Noise - Delivery/Collection Vehicles,,Burmantofts & Richmond Hill,20/12/2019,20/12/2019,,Self Service,CCP Self Service
15/12/2019,EPRN21,Noise - Low Frequency,,Little London & Woodhouse,18/12/2019,18/12/2019,,Self Service,CCP Self Service
15/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Little London & Woodhouse,11/02/2020,11/02/2020,,Self Service,CCP Self Service
15/12/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),LS6 4,Weetwood,16/12/2019,16/12/2019,,Self Service,CCP Self Service
16/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Little London & Woodhouse,02/01/2020,02/01/2020,,Self Service,CCP Self Service
16/12/2019,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Rothwell,02/01/2020,02/01/2020,,Self Service,CCP Self Service
16/12/2019,EPRN02,Noise - Commercial/Industrial Activities,LS11 7,Beeston & Holbeck,06/01/2020,06/01/2020,,E-mail,Environmental Health Back Office
16/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,24/12/2019,24/12/2019,,Self Service,CCP Self Service
16/12/2019,EPRN25,Noise - Licensed Premises,,Kirkstall,18/12/2019,18/12/2019,,Self Service,CCP Self Service
17/12/2019,EPRN03,Noise - Construction Sites,,Bramley & Stanningley,10/02/2020,10/02/2020,,Self Service,CCP Self Service
17/12/2019,EPRN03,Noise - Construction Sites,,Morley South,18/12/2019,18/12/2019,,Telephone Call,Contact Centre
17/12/2019,EPRN03,Noise - Construction Sites,LS26 0,Rothwell,09/01/2020,09/01/2020,,Self Service,CCP Self Service
17/12/2019,EPRN02,Noise - Commercial/Industrial Activities,LS11 5,Hunslet & Riverside,15/01/2020,15/01/2020,,E-mail,Environmental Health Back Office
17/12/2019,EPRN18,Noise - PA Systems & Loud Speakers,,Hunslet & Riverside,06/01/2020,06/01/2020,,Self Service,CCP Self Service
18/12/2019,EPRN03,Noise - Construction Sites,,Pudsey,02/01/2020,02/01/2020,,E-mail,Environmental Health Back Office
19/12/2019,EPRN03,Noise - Construction Sites,,Burmantofts & Richmond Hill,29/05/2020,29/05/2020,,Self Service,CCP Self Service
20/12/2019,EPRN05,Noise - Roadworks,LS5 3,Kirkstall,20/12/2019,20/12/2019,,E-mail,Environmental Health Back Office
20/12/2019,EPRN10,Noise - Fireworks (Commercial Premises),,Kirkstall,23/12/2019,23/12/2019,,E-mail,Environmental Health Back Office
26/12/2019,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,06/01/2020,06/01/2020,,Self Service,CCP Self Service
28/12/2019,EPRN25,Noise - Licensed Premises,,Rothwell,14/01/2020,14/01/2020,,E-mail,Environmental Health Back Office
28/12/2019,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,16/01/2020,16/01/2020,,Self Service,CCP Self Service
29/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Kippax & Methley,06/01/2020,06/01/2020,,Self Service,CCP Self Service
30/12/2019,EPRN03,Noise - Construction Sites,,Chapel Allerton,,,,Telephone Call,Contact Centre
30/12/2019,EPRN02,Noise - Commercial/Industrial Activities,,Gipton & Harehills,14/01/2020,14/01/2020,,Telephone Call,Environmental Health Back Office
02/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Guiseley & Rawdon,21/01/2020,21/01/2020,,E-mail,Environmental Health Back Office
02/01/2020,EPRN25,Noise - Licensed Premises,,Temple Newsam,11/02/2020,11/02/2020,,E-mail,Environmental Health Back Office
02/01/2020,EPRN25,Noise - Licensed Premises,,Otley & Yeadon,22/01/2020,22/01/2020,,E-mail,Environmental Health Back Office
02/01/2020,EPRN17,Noise - Farming Bird Scarers,LS25 7,Kippax & Methley,27/01/2020,27/01/2020,,E-mail,Environmental Health Back Office
02/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Killingbeck & Seacroft,28/01/2020,28/01/2020,,E-mail,Environmental Health Back Office
03/01/2020,EPRN25,Noise - Licensed Premises,,Kirkstall,06/01/2020,06/01/2020,,Self Service,CCP Self Service
03/01/2020,EPRN25,Noise - Licensed Premises,,Kirkstall,17/01/2020,17/01/2020,,Self Service,CCP Self Service
05/01/2020,EPRN17,Noise - Farming Bird Scarers,WF10 2,Kippax & Methley,11/02/2020,11/02/2020,,Self Service,CCP Self Service
05/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Farnley & Wortley,22/01/2020,22/01/2020,,Self Service,CCP Self Service
06/01/2020,EPRN03,Noise - Construction Sites,,Farnley & Wortley,27/01/2020,27/01/2020,,E-mail,Environmental Health Back Office
06/01/2020,EPRN03,Noise - Construction Sites,,Adel & Wharfedale,05/03/2020,05/03/2020,,Telephone Call,Contact Centre
06/01/2020,EPRN25,Noise - Licensed Premises,,Beeston & Holbeck,11/02/2020,11/02/2020,,Telephone Call,Environmental Health Back Office
07/01/2020,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,07/01/2020,07/01/2020,,Self Service,CCP Self Service
07/01/2020,EPRN03,Noise - Construction Sites,,Kirkstall,07/01/2020,07/01/2020,,Self Service,CCP Self Service
08/01/2020,EPRN01,Noise - Air-Conditioning Units/Chillers,LS28 7,Calverley & Farsley,,,,,
09/01/2020,EPRN17,Noise - Farming Bird Scarers,,Kippax & Methley,17/01/2020,17/01/2020,,E-mail,Environmental Health Back Office
09/01/2020,EPRN25,Noise - Licensed Premises,,Little London & Woodhouse,03/02/2020,03/02/2020,,E-mail,Environmental Health Back Office
09/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Beeston & Holbeck,09/03/2020,09/03/2020,,E-mail,Environmental Health Back Office
09/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Beeston & Holbeck,03/02/2020,03/02/2020,,Witness by Officer,Environmental Health Back Office
09/01/2020,EPRN21,Noise - Low Frequency,,Beeston & Holbeck,17/04/2020,17/04/2020,,Self Service,CCP Self Service
09/01/2020,EPRN21,Noise - Low Frequency,,Alwoodley,10/01/2020,10/01/2020,,Self Service,CCP Self Service
10/01/2020,EPRN03,Noise - Construction Sites,,Weetwood,28/02/2020,28/02/2020,,Self Service,CCP Self Service
10/01/2020,EPRN22,Noise - Major Domestic Building Works,,Beeston & Holbeck,21/01/2020,21/01/2020,,E-mail,Environmental Health Back Office
10/01/2020,EPRN25,Noise - Licensed Premises,,Horsforth,04/02/2020,04/02/2020,,E-mail,Environmental Health Back Office
10/01/2020,EPRN03,Noise - Construction Sites,,Hunslet & Riverside,27/01/2020,27/01/2020,,Self Service,CCP Self Service
10/01/2020,EPRN25,Noise - Licensed Premises,,Morley South,10/02/2020,10/02/2020,,E-mail,Environmental Health Back Office
11/01/2020,EPRN25,Noise - Licensed Premises,,Armley,17/02/2020,17/02/2020,,Telephone Call,Environmental Health Back Office
11/01/2020,EPRN25,Noise - Licensed Premises,,Kirkstall,16/01/2020,16/01/2020,,Self Service,CCP Self Service
11/01/2020,EPRN25,Noise - Licensed Premises,,Kirkstall,16/01/2020,16/01/2020,,Self Service,CCP Self Service
11/01/2020,EPRN25,Noise - Licensed Premises,,Kirkstall,14/01/2020,14/01/2020,,Self Service,CCP Self Service
12/01/2020,EPRN03,Noise - Construction Sites,,Burmantofts & Richmond Hill,16/01/2020,16/01/2020,,Self Service,CCP Self Service
12/01/2020,EPRN22,Noise - Major Domestic Building Works,,Headingley & Hyde Park,05/03/2020,05/03/2020,,Self Service,CCP Self Service
12/01/2020,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Horsforth,13/01/2020,13/01/2020,,Self Service,CCP Self Service
13/01/2020,EPRN18,Noise - PA Systems & Loud Speakers,,Hunslet & Riverside,11/02/2020,11/02/2020,,Telephone Call,Environmental Health Back Office
13/01/2020,EPRN13,Noise - Commercial Alarms (intnl/extnl),,Horsforth,13/01/2020,13/01/2020,,E-mail,Environmental Health Back Office
13/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Calverley & Farsley,13/01/2020,13/01/2020,,Telephone Call,Environmental Health Back Office
13/01/2020,EPRN07,Noise - Motor Vehicles (On Private Land),,Armley,13/01/2020,13/01/2020,,Self Service,CCP Self Service
14/01/2020,EPRN15,Noise - Church Bells/Clocks/Calls Prayer,,Burmantofts & Richmond Hill,14/01/2020,14/01/2020,,Telephone Call,Contact Centre
14/01/2020,EPRN03,Noise - Construction Sites,,,27/01/2020,27/01/2020,,Telephone Call,Environmental Health Back Office
14/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Kippax & Methley,23/07/2020,23/07/2020,,,Environmental Health Back Office
14/01/2020,EPRN03,Noise - Construction Sites,,Little London & Woodhouse,14/01/2020,14/01/2020,,Telephone Call,Contact Centre
14/01/2020,EPRN17,Noise - Farming Bird Scarers,LS25 7,Kippax & Methley,17/01/2020,17/01/2020,,E-mail,Environmental Health Back Office
15/01/2020,EPRN02,Noise - Commercial/Industrial Activities,LS3 1,Little London & Woodhouse,10/02/2020,10/02/2020,,E-mail,Environmental Health Back Office
15/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Headingley & Hyde Park,21/04/2020,21/04/2020,,E-mail,Environmental Health Back Office
16/01/2020,EPRN03,Noise - Construction Sites,,Farnley & Wortley,03/02/2020,03/02/2020,,Self Service,CCP Self Service
16/01/2020,EPRN02,Noise - Commercial/Industrial Activities,,Farnley & Wortley,16/01/2020,16/01/2020,,Self Service,CCP Self Service
16/01/2020,EPRN25,Noise - Licensed Premises,,Headingley & Hyde Park,17/01/2020,17/01/2020,,Self Service,CCP Self Service
17/01/2020,EPRN05,Noise - Roadworks,LS2 7,Little London & Woodhouse,17/01/2020,17/01/2020,,Self Service,CCP Self Service
